hospital_name,hospital_id,hospital_city,hospital_state,latitude,longitude,disease_code,disease_name,total_cases,mean_age,median_age,std_age,min_age,max_age,male_count,total_encounters,male_percentage,age_range,cases_per_encounter,distance_from_center_km
EWEN General Hospital,925,EWEN,MI,0.0,0.0,J96.01,J96.01,3,65.1,65.1,0.0,65.1,65.1,3,3,100.0,0.0,1.0,5502.749440281054
Escanaba General Hospital,33,Escanaba,MI,45.745247,-87.06458,J96.01,J96.01,15,49.5,46.5,6.2105900340811875,46.5,61.5,3,15,20.0,15.0,1.0,5414.183069736838
GLADSTONE General Hospital,396,GLADSTONE,MI,0.0,0.0,J96.01,J96.01,3,80.0,80.0,0.0,80.0,80.0,3,3,100.0,0.0,1.0,5502.749440281054
IRON RIVER General Hospital,6,IRON RIVER,MI,46.092732,-88.642354,J96.01,J96.01,6,68.8,68.8,0.0,68.8,68.8,6,6,100.0,0.0,1.0,5587.358916846278
MARQUETTE General Hospital,946,MARQUETTE,MI,0.0,0.0,J96.01,J96.01,3,54.70000000000001,54.7,0.0,54.7,54.7,0,3,0.0,0.0,1.0,5502.749440281054
NEGAUNEE General Hospital,210,NEGAUNEE,MI,46.509093,-87.606872,J96.01,J96.01,1,61.0,61.0,,61.0,61.0,1,1,100.0,0.0,1.0,5507.107737756292
