hospital_name,hospital_id,hospital_city,hospital_state,latitude,longitude,disease_code,disease_name,total_cases,mean_age,median_age,std_age,min_age,max_age,male_count,total_encounters,male_percentage,age_range,cases_per_encounter,distance_from_center_km
GWINN General Hospital,164,GWINN,MI,46.281056,-87.440972,J06.9,J06.9,1,67.5,67.5,,67.5,67.5,0,1,0.0,0.0,1.0,4120.206708991973
GWINN General Hospital,204,GWINN,MI,46.281056,-87.440972,J06.9,J06.9,4,1.2,1.2,0.0,1.2,1.2,0,4,0.0,0.0,1.0,4120.206708991973
IRON RIVER General Hospital,6,IRON RIVER,MI,46.092732,-88.642354,J06.9,J06.9,3,19.6,19.6,0.0,19.6,19.6,3,3,100.0,0.0,1.0,4229.009705179155
MANISTIQUE General Hospital,107,MANISTIQUE,MI,45.957751,-86.246252,J06.9,J06.9,1,75.1,75.1,,75.1,75.1,1,1,100.0,0.0,1.0,3986.3467078829112
MANISTIQUE General Hospital,686,MANISTIQUE,MI,0.0,0.0,J06.9,J06.9,3,64.7,64.7,0.0,64.7,64.7,0,3,0.0,0.0,1.0,6861.42582903519
MANISTIQUE General Hospital,725,MANISTIQUE,MI,0.0,0.0,J06.9,J06.9,3,1.8999999999999997,1.9,0.0,1.9,1.9,0,3,0.0,0.0,1.0,6861.42582903519
MANISTIQUE General Hospital,831,MANISTIQUE,MI,0.0,0.0,J06.9,J06.9,3,2.7999999999999994,2.8,0.0,2.8,2.8,3,3,100.0,0.0,1.0,6861.42582903519
MARQUETTE General Hospital,42,MARQUETTE,MI,46.54362,-87.395371,J06.9,J06.9,3,30.0,30.0,0.0,30.0,30.0,3,3,100.0,0.0,1.0,4129.481683601643
